no,city,目的地
1,成都,新城市广场
2,成都,太成宾馆
3,成都,成都外双楠希尔顿欢朋酒店
4,成都,西岸蒂景A座
5,成都,7天酒店(成都春熙路盐市口店)
6,成都,禾嘉利好
7,成都,成都盛铂仕丹酒店武侯祠店
8,成都,中心世茂
9,成都,成都宽窄巷子希尔顿欢朋酒店
10,成都,肖家河北街
11,成都,成都东站
12,成都,华西国际
13,成都,首座万丽
14,成都,何日君酒店(人南店)
15,成都,新品汉庭酒店成都天府广场盐市口店
16,成都,成都印主题城市别墅酒店名流花园店
17,成都,玉林会所（玉林店）
18,成都,安逸酒店(成都西南财大地铁站店)
19,成都,汉庭酒店(宽窄巷子新店)
20,成都,成都埃菲尔国际酒店
21,成都,天晴国际青年客栈
22,成都,瑞升望江橡树林
23,成都,成都东站东广场
24,成都,维也纳酒店(成都春熙路天府广场地铁站店)
25,成都,万友睿柏
26,成都,金茂光明城市
27,成都,紫竹苑
28,成都,cpe大楼
29,成都,成都轩雅映月酒店
30,成都,成都西门智选假日酒店-停车场
31,成都,宽窄巷子
32,成都,金河宾馆
33,成都,如家快捷酒店成都春熙路太古里书院街站
34,成都,成都芙蓉饭店
35,成都,科甲大厦
36,成都,成都尚锦和美春熙太古里酒店
37,成都,成都高新实验中学新北校区
38,成都,海滨铂雅酒店
39,成都,金科一城
40,成都,一号线火车北站地铁站
41,成都,中国工商银行(天顺路支行)
42,成都,影茂城果
43,成都,丽景华庭
44,成都,世纪城
45,成都,成都寓尊精品公寓
46,成都,成都花园
47,成都,南苑B区
48,成都,成都瑞欣酒店
49,成都,七天快捷主题公寓(成都东站店)
50,成都,智慧康城
51,成都,桔子酒店精选(成都顺城店)
52,成都,百世酒店
53,成都,华润幸福里
54,成都,锦江之星酒店(成都金仙桥店)
55,成都,艺家风格酒店
56,成都,华林南苑
57,成都,东方广场
58,成都,四川省社会科学院
59,成都,成都索菲斯民族大酒店
60,成都,如家精选酒店(太古里天祥街店)
61,成都,西门车站
62,成都,成都现代城
63,成都,圣沅汇景樱桃季
64,成都,桔子酒店精选(成都环球中心店)
65,成都,清溪西路
66,成都,三四五时尚
67,成都,成都如客酒店
68,成都,福兴苑
69,成都,尊宝披萨意式休闲餐厅
70,成都,成都初见精品公寓
71,成都,锦江之星酒店(成都文殊坊店)
72,成都,家益欣城
73,成都,如家快捷酒店(成都华西医大省体育馆地铁站店)
74,成都,净居寺
75,成都,新品汉庭酒店成都科华北路四川大学店
76,成都,成都东站
77,成都,一环路东二段
78,成都,高碑瑞苑
79,成都,四威大厦
80,成都,天香包点(天香店)
81,成都,白云花园
82,成都,三四五时尚
83,成都,茶店子
84,成都,南馨苑
85,成都,hewoo筑梦空间青年公寓(成都东站店)
86,成都,浅水半岛
87,成都,徒行陌客
88,成都,武侯祠
89,成都,西单商场
90,成都,撒哈拉何兮青年空间
91,成都,高笋塘站
92,成都,首座万豪酒店
93,成都,环球汇天誉蔚蓝
94,成都,新世纪环球购物广场
95,成都,紫东阳光一期
96,成都,锦城宽窄精品主题服务公寓
97,成都,琉璃一街站
98,成都,一路向北青年旅社
99,成都,哈斯顿酒店
100,成都,联森酒店(宽窄巷子店)
101,成都,春熙路南端步行街
102,成都,蓉城云熙精品度假公寓
103,成都,宽窄芙蓉精品度假公寓
104,成都,宽窄芙蓉精品度假公寓
105,成都,锦里小吃街
106,成都,全季酒店(成都高新店)
107,成都,高地中心
108,成都,天湖宾馆
109,成都,新鸿社区
110,成都,格兰威尔酒店(阳光地带东)
111,成都,成都馨乐庭城南服务公寓
112,成都,慕和南道
113,成都,成都瑞庭连锁酒店(晨辉二街店)
114,成都,泛悦国际
115,成都,西二道街口
116,成都,锦江宾馆
117,成都,四川省地方税务局
118,成都,阳光金沙
119,成都,东客站
120,成都,成都斑斓家民宿九眼桥店
121,成都,西南交通大学(九里校区)
122,成都,康河郦景
123,成都,神仙树大院
124,成都,沙河堡医院
125,成都,四川大学
126,成都,锦洲花园
127,成都,爱家馨城
128,成都,康河郦景
129,成都,伊丽特酒店
130,成都,金茂假日
131,成都,金茂假日
132,成都,成都瑞思博雅酒店
133,成都,成都站
134,成都,太平园
135,成都,成都希尔顿酒店
136,成都,环球中心
137,成都,蓝光云鼎
138,成都,锦江之星酒店(成都白果林地铁站店)
139,成都,泡桐树公寓
140,成都,龙腾小区
141,成都,成都轩雅映月酒店
142,成都,福顺苑-西门
143,成都,时代天骄
144,成都,礼顿酒店
145,成都,二环路西二段77号院
146,成都,成都站
147,成都,金楠国际
148,成都,锦江之星酒店(成都春熙路王府井店)
149,成都,山水时尚酒店(九眼桥店)
150,成都,一品荷花
151,成都,三环航天立交北内侧-公交车站
152,成都,赛格广场
153,成都,美城云庭
154,成都,布丁酒店(成都一品天下蜀汉路东地铁站店)
155,成都,撒哈拉何兮青年空间
156,成都,长发街
157,成都,天府广场
158,成都,隐庐巷上生活馆
159,成都,祥宇宾馆(新南路店)
160,成都,新华国际
161,成都,龙景花园
162,成都,华润・紫云府
163,成都,都市家园
164,成都,天鹅湖公寓
165,成都,景茂城果
166,成都,四川大学
167,成都,成都馨佳缘酒店公寓(宽窄巷子新城市广场店)
168,成都,富丽花园
169,成都,成都远洋太古里
170,成都,蓝天小区
171,成都,美逸酒店
172,成都,地方电力局
173,成都,如家快捷酒店(成都电信路华西医大店)
174,成都,锦江之星酒店(成都杜甫草堂店)
175,成都,粼江峰阁
176,成都,棕榈泉费尔蒙酒店
177,成都,成都漫花园酒店
178,成都,天合汇锦城
179,成都,汉庭酒店(成都五大花园金雁路店)
180,成都,成都誉峰M4民宿
181,成都,汉庭酒店(成都天府广场店)
182,成都,左岸精品公寓喜年店
183,成都,赛云台北路7号院
184,成都,正成财富
185,成都,成华街九号院
186,成都,成都太古里精品酒店公寓
187,成都,金地金沙府邸
188,成都,客道酒店
189,成都,华润凤凰城3期
190,成都,河滨丽苑
191,成都,河滨雅苑
192,成都,流星花园6栋
193,成都,金茂・光明城市-2号门
194,成都,上东1号3期
195,成都,桐梓林壹号
196,成都,誉峰东区
197,成都,绿洲大酒店
198,成都,苏坡立交
199,成都,桂溪路中-公交车站
200,成都,成都宜家民宿火车南站店
201,成都,文翁华府
202,成都,国际花园
203,成都,汇城港湾
204,成都,成都途家斯维登服务公寓阳光米娅店
205,成都,成都东站
206,成都,如家快捷酒店(成都春熙路步行街店)
207,成都,蜀都花园
208,成都,如家快捷酒店(成都新鸿路店)
209,成都,西林巷22号
210,成都,成都都丽酒店(武侯祠锦里店)
211,成都,绿地GIC一期
212,成都,凤翔云庭
213,成都,元度家居汇装饰有限公司(总部)
214,成都,那些时光精品公寓
215,成都,新良大酒店(上东大街店)
216,成都,东通顺街26号
217,成都,天晴国际青年客栈
218,成都,佳年华 时代晶座
219,成都,状元府邸
220,成都,保利星座
221,成都,龙湖金楠时光
222,成都,蜀郡
223,成都,金贸光明城市
224,成都,比华利国际3期
225,成都,招商银行(金沙支行)
226,成都,成科路9号院
227,成都,上东花园四组团
228,成都,如家精选酒店(成都春熙路盐市口店)
229,成都,香槟广场
230,成都,锦江之星酒店(成都金仙桥店)
231,成都,全季酒店(春熙路太古里酒店)
232,成都,全季酒店(春熙路太古里酒店)
233,成都,成都南站
234,成都,世代锦江国际酒店
235,成都,天府丽都喜来登饭店
236,成都,世纪城
237,成都,成都宽窄芙蓉精品度假公寓
238,成都,桔子酒店精选(成都顺城店)
239,成都,光明城市
240,成都,布衣客栈(成都软件园店)
241,成都,太古里河畔亚朵酒店
242,成都,加州一号酒店
243,成都,摩登s酒店
244,成都,交大归谷建设派
245,成都,成都武侯祠亚朵酒店
246,成都,成都季风客栈青年旅舍
247,成都,汇翠园
248,成都,仁和春天国际花园
249,成都,成都博客庄园禅茶酒店
250,成都,茶店子地铁站
251,成都,东安南路17号大院
252,成都,罗浮世家
253,成都,汉庭酒店(武侯店)
254,成都,明宇尚庭主题公寓
255,成都,星逸酒店
256,成都,春熙路
257,成都,锦江之星酒店(成都白果林地铁站店)
258,成都,成都雅住158连锁酒店锦华店
259,成都,财富又一城
260,成都,千居朝阳
261,成都,碧云天
262,成都,维也纳酒店(成都春熙路李家沱地铁站店)
263,成都,中国邮政储蓄银行(天福街支行)
264,成都,抚琴西南路
265,成都,致瑞雅苑B区
266,成都,天遇酒店
267,成都,宽窄巷子
268,成都,四川省林业干部学校
269,成都,品香四季酒店
270,成都,品香四季酒店
271,成都,成都有客rex电影主题精品酒店
272,成都,紫荆名苑
273,成都,如家快捷酒店(成都玉沙路店)
274,成都,成都加悦精品酒店公寓
275,成都,成都帝盛君豪酒店
276,成都,春熙里酒店(联升巷)
277,成都,成都记忆旅行度假短租公寓(春熙店)
278,成都,春熙路
279,成都,春熙路
280,成都,成都维尼酒店式公寓
281,成都,速8酒店(成都茶店子店)
282,成都,新世纪广场
283,成都,建发天府鹭洲
284,成都,鼎云顺城
285,成都,成都瑞思特酒店
286,成都,成都瑞思特酒店
287,成都,成都仁和春天酒店(二环路店)
288,成都,成都行者居别墅客栈――格桑店
289,成都,星城银座
290,成都,四川师范大学
291,成都,如家快捷酒店(成都双桥子经华北路店)
292,成都,维也纳酒店(成都春熙路天府广场地铁站店)
293,成都,武侯区盛世路
294,成都,龙湖金楠天街
295,成都,成都乐居青年公寓
296,成都,武侯祠亚朵酒店
297,成都,有客REX电影主题
298,成都,橙话馨语复式
299,成都,群宁街
300,成都,全季酒店(成都太古里滨江路店)
301,成都,新品汉庭酒店成都新会展中心店
302,成都,海友酒店(成都玉沙路店)
303,成都,猛追湾
304,成都,东大街下东大街段
305,成都,东站
306,成都,成都漫果酒店公寓
307,成都,乐浮国际青年旅社
308,成都,安逸酒店(成都宽窄巷子西店)
309,成都,御府花都A区
310,成都,元景路99号
311,成都,如家精选酒店(成都春熙路盐市口店)
312,成都,成都帽魅・臻选精品主题服务公寓
313,成都,浆洗街4号
314,成都,电力职业培训中心
315,成都,博爱医院
316,成都,星宇・蜀居主题酒店(成都春熙路太古里店)
317,成都,一品天下
318,成都,中铁二院职工食堂
319,成都,西姆善居酒店
320,成都,雅颂居-2期
321,成都,新里维多利亚公寓
322,成都,成都斯维登度假公寓(力迅领筑商务区)
323,成都,红树湾
324,成都,成都长江公寓(会展店)
325,成都,世纪城
326,成都,武侯祠
327,成都,西姆善居酒店
328,成都,东风路
329,成都,桔子酒店精选(武侯祠店)
330,成都,华润广场-a座
331,成都,巴中宾馆
332,成都,世纪城
333,成都,凯美酒店(九眼桥店)
334,成都,青桐城市酒店
335,成都,雅颂居
336,成都,无国界
337,成都,成都途家斯维登度假公寓(福年广场店)
338,成都,正熙国际
339,成都,积木公寓(中航店)
340,成都,成都巴蜀之家度假公寓
341,成都,世代锦江
342,成都,吾桐里国际青年客栈
343,成都,泰合索菲特大饭店
344,成都,花园饭店
345,成都,锦江之星酒店(成都文殊坊店)
346,成都,成都梦之旅国际青年旅舍(武侯祠锦里店)
347,成都,成都理工大学
348,成都,积木公寓(中航店)
349,成都,威登酒店
350,成都,成都市天府实验学校
351,成都,成都优途逸家公寓
352,成都,火车南站
353,成都,全季酒店(火车东站店)
354,成都,锦江之星酒店(成都金仙桥店)
355,成都,两江国际
356,成都,嘉立连锁酒店(成都天府广场店)
357,成都,伊丽特
358,成都,红树湾
359,成都,鼓楼智选
360,成都,黄金大酒店
361,成都,西西里二期
362,成都,生活立方
363,成都,富丽花城
364,成都,君怡酒店营门口精品店
365,成都,锦江之星酒店(成都白果林地铁站店)
366,成都,金牛蜀汉路289号
367,成都,万福桥
368,成都,蜀都中心2期-1号楼
369,成都,皇城西御
370,成都,金楠天街
371,成都,全季酒店(春熙路太古里酒店)
372,成都,保利心语
373,成都,琅h精品
374,成都,茶店子
375,成都,长青北街
376,成都,成都记忆旅行度假短租公寓(春熙店)
377,成都,成都春熙亚朵s酒店
378,成都,宽窄巷子
379,成都,两江国际
380,成都,锦城华府
381,成都,凯丽滨江
382,成都,金鹏街
383,成都,成都蒙太奇主题酒店公寓
384,成都,艾克斯网咖
385,成都,丽水澜庭
386,成都,华润二十四
387,成都,华润置地
388,成都,红庙子街
389,成都,青羊区国税局
390,成都,成都公安局高新分局办证中心
391,成都,成都公安局高新分局办证中心
392,成都,新国际会展中心
393,成都,成都世外桃源酒店
394,成都,峰汇中心2号楼
395,成都,华西妇产儿童医院
396,成都,万年路251号
397,成都,熊猫贝贝公寓
398,成都,锦里
399,成都,世外桃源酒店
400,成都,一木依居酒店(天誉店)
401,成都,星程百花世家酒店
402,成都,成都锦江之星杜甫草堂店
403,成都,草堂印象酒店
404,成都,天誉
405,成都,王府花园
406,成都,第六人民医院
407,成都,明宇豪雅
408,成都,雅颂居
409,成都,爱客来精品度假公寓
410,成都,成都银行atm(晋阳路)
411,成都,天誉南庭
412,成都,成都富力丽思卡顿酒店
413,成都,大鼎戴斯酒店
414,成都,九龙怡家酒店
415,成都,建设路
416,成都,观城
417,成都,成都记忆空间服务公寓(太古里店)
418,成都,星宇蜀居主题酒店
419,成都,成华区万年场
420,成都,派酒店(成都宽窄巷子店)
421,成都,维也纳国际酒店(环球中心新会展店)
422,成都,上东酒店
423,成都,盛世草堂
424,成都,青羊物业大厦
425,成都,汉庭酒店(成都盐市口店)
426,成都,西姆翰墨酒店
427,成都,成都品香四季酒店(世纪城店)
428,成都,四川省气象局
429,成都,绿地之窗
430,成都,龙湖三千城
431,成都,华兴新居
432,成都,四川大学
433,成都,成都轩雅映月酒店
434,成都,成都楚天君临酒店
435,成都,站西桥
436,成都,华润二十四城
437,成都,凡花三舍青年公寓
438,成都,东站
439,成都,第一人民医院
440,成都,成都时光青年旅舍金牛万达店
441,成都,成都嘉好弗斯达酒店文殊院店
442,成都,丽景华庭
443,成都,明宇尚雅饭店
444,成都,阿悦酒店公寓
445,成都,吉祥街小区
446,成都,银石国际
447,成都,皇家别墅
448,成都,鑫万里客商务旅店(双清南路店)
449,成都,成都市品乐酒店建设路sm广场店
450,成都,沃尔玛(武侯店)
451,成都,龙腾中路
452,成都,锦江之星酒店(成都武侯祠体育学院店)
453,成都,锦江之星酒店(成都武侯祠体育学院店)
454,成都,东站
455,成都,海上海-北苑
456,成都,天府一街
457,成都,成华奥园广场
458,成都,蓝光凯丽香江
459,成都,外运小区
460,成都,成都清居酒店春熙路提督街店
461,成都,兴元华盛
462,成都,三环路娇子立交桥西-公交车站
463,成都,八宝大酒店
464,成都,雅尚公寓(春熙店)
465,成都,成都蓉城云熙精品名宿公寓
466,成都,7天酒店(成都武侯祠华西医院店)
467,成都,成都梦之旅国际青年旅舍(武侯祠锦里店)
468,成都,99旅馆(川大店)
469,成都,全季酒店(成都太古里滨江路店)
470,成都,金域名人国际酒店
471,成都,人民中路
472,成都,武侯祠
473,成都,成都初见精品公寓
474,成都,成都东站
475,成都,四川省人民医院
476,成都,图腾铂雅酒店
477,成都,如家快捷酒店(成都新南门店)
478,成都,成都传家合院精品管家酒店
479,成都,瑞廷西郊酒店
480,成都,美丽云天
481,成都,瑞廷西郊酒店
482,成都,瑞廷西郊酒店
483,成都,美丽豪酒店(成都宽窄巷子店)
484,成都,龙湖北城
485,成都,慕森主题
486,成都,成都朴院精品酒店
487,成都,一叶一世界藏茶素食火锅(春熙路店)
488,成都,成都明德坊酒店
489,成都,成都行者居别墅客栈-印象店
490,成都,富丽东方-和美东路
491,成都,7天连锁酒店(成都春熙路步行街店)
492,成都,成都青巢・宽窄精品主题服务公寓
493,成都,如家快捷酒店(四川师范大学店)
494,成都,玉皇观街1号院
495,成都,华西坝
496,成都,瑞泰锦城
497,成都,中海翠屏湾
498,成都,保利中心C座
499,成都,白果林
500,成都,城市理想A座
501,成都,布丁酒店(成都华西医大黉门街店)
502,成都,心族宾馆
503,成都,群康路51号
504,成都,锦江之星酒店(成都武侯祠体育学院店)
505,成都,祥域
506,成都,78号观邸
507,成都,红星国际
508,成都,成华区桃蹊路
509,成都,沙河 路苑
510,成都,蓝光富丽东方
511,成都,燃灯寺北街
512,成都,富力广场
513,成都,如家精选酒店(蜀汉路店)
514,成都,追梦青年旅舍(成都春熙路店)
515,成都,金城丽景
516,成都,上东1号-三期
517,成都,龙湖北城天街
518,成都,春熙路
519,成都,流星花园
520,成都,东站
521,成都,金控时代广场
522,成都,如家精选酒店(蜀汉路店)
523,成都,如家精选酒店(蜀汉路店)
524,成都,康河郦景
525,成都,7天连锁酒店(成都望江楼店)
526,成都,如家快捷酒店(成都武侯祠店)
527,成都,天合凯旋城
528,成都,人民北路
529,成都,成都新城市广场
530,成都,如家精选酒店(新南门地铁站店)
531,成都,吾桐里国际青年客栈(大石东路店)
532,成都,凯丽香江生活广场
533,成都,如家精选酒店(蜀汉路店)
534,成都,蓉城四季酒店
535,成都,蓝光 郁金香花园
536,成都,轩雅映月
537,成都,京都大厦
538,成都,金林大城小室
539,成都,尚尊健身俱乐部
540,成都,火车北站
541,成都,慷懒客栈
542,成都,武侯区新乐路
543,成都,老宋国际青年旅舍
544,成都,7天连锁酒店(成都火车北站店)
545,成都,成都浪漫满屋度假公寓
546,成都,瑞安城中汇
547,成都,都豪网络酒店
548,成都,嘉立连锁酒店(成都文殊院地铁站店)
549,成都,天府丽都喜来登饭店
550,成都,成都瑞峰公寓酒店
551,成都,金林大城小室
552,成都,泰丰国际广场
553,成都,新品汉庭酒店成都天府广场盐市口店
554,成都,希岸酒店(优品道店)
555,成都,桔子酒店精选(成都顺城店)
556,成都,成都繁星我们国际青年旅舍
557,成都,祥福苑大厦
558,成都,南城都汇
559,成都,成都胖圈青年旅舍杜甫草堂店
560,成都,瑞成名人酒店
561,成都,华润凤凰城
562,成都,金科圣嘉公寓
563,成都,曦城
564,成都,正成财富ID
565,成都,成都索菲斯锦苑宾馆
566,成都,成都朴宿pusuhomestay
567,成都,成都途乐公寓(宽窄巷子店)
568,成都,金科圣嘉公寓
569,成都,金科圣嘉公寓
570,成都,成都雅舍精品酒店
571,成都,嘉好・弗斯达酒店文殊院店
572,成都,外滩
573,成都,书院街道
574,成都,成华区双桥子社区卫生服务中心
575,成都,天悦城
576,成都,ifs国际金融中心三号办公楼
577,成都,万达锦华城
578,成都,成都远方之家连锁公寓新会展店
579,成都,澳林春天
580,成都,泰合索菲特大饭店
581,成都,万象城
582,成都,五块石客运站
583,成都,金科圣嘉公寓酒店(中心店)
584,成都,如家快捷酒店(成都九眼桥四川大学店)
585,成都,王家塘街81号
586,成都,成都鼓楼智选假日酒店
587,成都,风华苑
588,成都,成都首座万豪酒店
589,成都,客道酒店(致民路店)
590,成都,铸信境界
591,成都,金科圣嘉公寓酒店(中心店)
592,成都,成都慕斯威尔酒店
593,成都,城投观城
594,成都,成都海洋莱普敦酒店
595,成都,金沙巷16号小区
596,成都,成都云顶国际公寓太古里店
597,成都,红花教师苑
598,成都,东坡北二路
599,成都,如家快捷酒店(成都新鸿路店)
600,成都,成都风尚国际精品公寓
601,成都,美豪丽致酒店(成都高新店)
602,成都,锦江之星酒店(成都春熙路王府井店)
603,成都,成都芊吉假日酒店(天府广场店)
604,成都,瑞安城中汇
605,成都,桦林园休闲庄
606,成都,清溪南街11号院落
607,成都,全季酒店(成都太古里滨江路店)
608,成都,成都世纪城天堂洲际大饭店
609,成都,希岸酒店(成都火车东站中心店)
610,成都,成都书香门第酒店
611,成都,御隆酒店(西南财大店)
612,成都,狮旺庭酒店(成都文殊院店)
613,成都,成都北站
614,成都,成都万友睿柏云酒店
615,成都,成都市公安局金牛区分局黄忠派出所
616,成都,怡家城市酒店武侯店
617,成都,英郡3期
618,成都,贝森南路南-公交车站
619,成都,领都龙城2期
620,成都,成都曼嘉酒店(神仙树石羊场店)
621,成都,蓉城四季酒店
622,成都,成都远方之家连锁公寓新会展店
623,成都,凯丽豪景
624,成都,桔子酒店精选(成都顺城店)
625,成都,龙湖世纪峰
626,成都,凯旋天地
627,成都,龙湖金楠天街
628,成都,星辉家园
629,成都,嘉祥瑞庭南城
630,成都,五块石客运站
631,成都,成都曼嘉酒店(神仙树石羊场店)
632,成都,全季酒店(成都环球中心店)
633,成都,建发天府鹭洲
634,成都,翡翠城5期
635,成都,蜀都花园
636,成都,柳江新居5期
637,成都,太平园中五路-道路
638,成都,吾桐里国际青年客栈(大石东路店)
639,成都,成都禧瑞酒店(玉林店)
640,成都,成功银玺国际
641,成都,成都远锦国际酒店
642,成都,红星国际
643,成都,大学路12号院
644,成都,春熙路
645,成都,海桐1期
646,成都,如家快捷酒店(成都新南门店)
647,成都,成都迷津青年旅舍
648,成都,非宿艺舍
649,成都,羊犀立交
650,成都,成都喜欢主题酒店赛格广场店
651,成都,汇厦少城
652,成都,绿地gic壹期
653,成都,娇子立交
654,成都,旅游职中教师公寓
655,成都,成都市春熙路亚朵轻居酒店
656,成都,成都周末度假公寓春熙一店
657,成都,红树湾
658,成都,锦江之星酒店(成都白果林地铁站店)
659,成都,华润凤凰城
660,成都,抚琴街南三巷-道路
661,成都,西南交通大学(九里校区)
662,成都,青桐城市酒店
663,成都,桔子酒店精选(成都顺城店)
664,成都,家益欣城-东1门
665,成都,龙湖金楠天街
