carno,time,start,terminal,latlng
1,10:18,A,0,"[103.955542,30.569893],[104.057651,30.67383]"
1,10:18,0,1,"[104.057651,30.67383],[104.053237,30.646505]"
2,11:14,A,2,"[103.955542,30.569893],[103.994865,30.649418]"
3,11:39,A,3,"[103.955542,30.569893],[104.053962,30.674086]"
4,12:55,A,4,"[103.955542,30.569893],[104.078304,30.657437]"
4,12:55,4,5,"[104.078304,30.657437],[104.084367,30.696078]"
5,13:46,A,6,"[103.955542,30.569893],[104.01362,30.64666]"
6,14:30,A,7,"[103.955542,30.569893],[104.07665,30.65986]"
7,14:59,A,8,"[103.955542,30.569893],[104.05283,30.68131]"
8,15:59,A,9,"[103.955542,30.569893],[104.042849,30.633738]"
9,17:05,A,10,"[103.955542,30.569893],[104.141625,30.62886]"
10,17:36,A,11,"[103.955542,30.569893],[104.058951,30.643685]"
11,17:58,A,12,"[103.955542,30.569893],[104.066565,30.612248]"
12,18:12,A,13,"[103.955542,30.569893],[104.06642,30.624537]"
13,20:23,A,14,"[103.955542,30.569893],[104.06962,30.66015]"
13,20:23,14,16,"[104.06962,30.66015],[104.060474,30.62651]"
14,20:23,A,15,"[103.955542,30.569893],[104.002619,30.653294]"
14,20:23,15,17,"[104.002619,30.653294],[104.077778,30.654769]"
15,21:07,A,18,"[103.955542,30.569893],[104.053891,30.66818]"
15,21:07,18,19,"[104.053891,30.66818],[104.027287,30.632327]"
16,21:20,A,20,"[103.955542,30.569893],[104.042952,30.654906]"
16,21:20,20,21,"[104.042952,30.654906],[104.091832,30.622495]"
17,21:46,A,22,"[103.955542,30.569893],[104.143974,30.628064]"
17,21:46,22,23,"[104.143974,30.628064],[104.065751,30.657453]"
18,22:11,A,24,"[103.955542,30.569893],[104.10337,30.60094]"
18,22:11,24,26,"[104.10337,30.60094],[104.05252,30.615756]"
19,22:12,A,25,"[103.955542,30.569893],[104.046359,30.527427]"
19,22:12,25,27,"[104.046359,30.527427],[104.067368,30.545046]"
20,22:29,A,28,"[103.955542,30.569893],[104.07553,30.652681]"
20,22:29,28,29,"[104.07553,30.652681],[104.029866,30.636913]"
20,22:29,29,31,"[104.029866,30.636913],[104.056091,30.661776]"
21,22:13,A,30,"[103.955542,30.569893],[104.053617,30.663833]"
22,22:39,A,32,"[103.955542,30.569893],[104.07773,30.656547]"
23,22:41,A,33,"[103.955542,30.569893],[104.058902,30.670086]"
23,22:41,33,34,"[104.058902,30.670086],[104.079342,30.656251]"
24,23:06,A,35,"[103.955542,30.569893],[104.08493,30.651925]"
24,23:06,35,36,"[104.08493,30.651925],[104.038652,30.603918]"
24,23:06,36,37,"[104.038652,30.603918],[104.103951,30.713386]"
24,23:06,37,38,"[104.103951,30.713386],[104.111817,30.711406]"
25,23:25,A,39,"[103.955542,30.569893],[104.073972,30.695568]"
25,23:25,39,40,"[104.073972,30.695568],[104.071246,30.591621]"
26,23:25,A,41,"[103.955542,30.569893],[104.06927,30.52827]"
27,23:36,A,42,"[103.955542,30.569893],[104.015689,30.651247]"
28,23:36,A,43,"[103.955542,30.569893],[104.071362,30.556128]"
29,23:46,A,44,"[103.955542,30.569893],[104.06899,30.66576]"
30,0:08,A,45,"[103.955542,30.569893],[104.011714,30.655637]"
30,0:08,45,47,"[104.011714,30.655637],[104.052029,30.675318]"
31,0:11,A,46,"[103.955542,30.569893],[104.05696,30.57472]"
32,0:12,A,48,"[103.955542,30.569893],[104.14078,30.62881]"
33,0:25,A,49,"[103.955542,30.569893],[104.046605,30.709158]"
33,0:25,49,50,"[104.046605,30.709158],[104.072594,30.666769]"
33,0:25,50,51,"[104.072594,30.666769],[104.086735,30.651399]"
34,0:43,A,52,"[103.955542,30.569893],[104.119337,30.610139]"
34,0:43,52,53,"[104.119337,30.610139],[104.052196,30.67722]"
35,0:48,A,54,"[103.955542,30.569893],[104.011298,30.695041]"
36,1:09,A,55,"[103.955542,30.569893],[104.139872,30.682812]"
36,1:09,55,56,"[104.139872,30.682812],[104.090021,30.647671]"
36,1:09,56,57,"[104.090021,30.647671],[104.041584,30.653032]"
37,1:10,A,58,"[103.955542,30.569893],[104.045867,30.673148]"
37,1:10,58,59,"[104.045867,30.673148],[104.083726,30.653334]"
37,1:10,59,60,"[104.083726,30.653334],[104.0433,30.684417]"
38,1:26,A,61,"[103.955542,30.569893],[104.048827,30.652994]"
39,1:31,A,62,"[103.955542,30.569893],[104.015558,30.642351]"
39,1:31,62,63,"[104.015558,30.642351],[104.086167,30.654578]"
39,1:31,63,64,"[104.086167,30.654578],[104.022406,30.678537]"
39,1:31,64,65,"[104.022406,30.678537],[104.02472,30.62919]"
40,1:31,A,66,"[103.955542,30.569893],[104.03712,30.63956]"
41,1:47,A,67,"[103.955542,30.569893],[104.019548,30.694275]"
41,1:47,67,68,"[104.019548,30.694275],[104.078036,30.65792]"
42,1:46,A,69,"[103.955542,30.569893],[104.08652,30.66134]"
42,1:46,69,70,"[104.08652,30.66134],[104.072553,30.670975]"
43,1:58,A,71,"[103.955542,30.569893],[104.051227,30.53137]"
44,1:57,A,72,"[103.955542,30.569893],[104.06353,30.62944]"
45,2:04,A,73,"[103.955542,30.569893],[104.108307,30.622849]"
45,2:04,73,74,"[104.108307,30.622849],[104.077368,30.633977]"
45,2:04,74,75,"[104.077368,30.633977],[104.141625,30.62886]"
46,2:20,A,76,"[103.955542,30.569893],[104.101906,30.663195]"
47,2:29,A,77,"[103.955542,30.569893],[104.0052,30.627283]"
47,2:29,77,80,"[104.0052,30.627283],[104.085828,30.607707]"
48,2:40,A,78,"[103.955542,30.569893],[104.042138,30.684551]"
48,2:40,78,79,"[104.042138,30.684551],[104.058616,30.539705]"
49,2:39,A,81,"[103.955542,30.569893],[104.02472,30.62919]"
49,2:39,81,82,"[104.02472,30.62919],[104.027434,30.697177]"
49,2:39,82,83,"[104.027434,30.697177],[104.053627,30.612278]"
50,3:05,A,84,"[103.955542,30.569893],[104.14078,30.62881]"
50,3:05,84,85,"[104.14078,30.62881],[104.106125,30.686346]"
51,3:04,A,86,"[103.955542,30.569893],[104.048143,30.666185]"
